"top","degs","seed","train","test","ntimes","avgtime"
10,49,5000,92.93,50.14,100,0.03102
20,99,5000,93.29,50.57,100,0.05225
30,148,5000,93.86,52,100,0.07846
40,195,5000,96.32,52.71,100,0.10356
50,242,5000,97.32,53.86,100,0.12166
60,288,5000,97.32,50.29,100,0.14905
70,336,5000,97.36,61.14,100,0.17062
80,379,5000,97.36,61.14,100,0.19015
90,426,5000,97.29,62.14,100,0.22737
100,474,5000,97.47,61.14,100,0.24962
110,514,5000,97.47,60.57,100,0.26072
120,560,5000,97.54,60.43,100,0.27964
150,699,5000,97.72,60,100,0.3585
200,913,5000,97.93,57.86,100,0.47884
300,1351,5000,98.39,56.57,100,0.72436
400,1796,5000,98.75,56,100,0.96723
500,2260,5000,98.86,53,100,1.2604
1000,4432,5000,99.14,52.43,100,2.55339
