"top","degs","seed","train","test","ntimes","avgtime"
-1,560,1000,94.97,55.86,100,0.19444
-1,560,2000,95.32,53.29,100,0.18374
-1,560,3000,94.93,53.14,100,0.18459
-1,560,4000,95.39,52.71,100,0.18537
-1,560,5000,95.36,55.43,100,0.18489
-1,560,6000,94.43,55.57,100,0.18516
-1,560,7000,95.29,54.14,100,0.18382
-1,560,8000,95.04,53,100,0.1862
-1,560,9000,95,53.57,100,0.187
-1,560,10000,94.97,53,100,0.18223
