"top","degs","seed","train","test","ntimes","avgtime"
-1,560,1000,97.5,63.29,100,0.27096
-1,560,2000,97.75,62.29,100,0.26774
-1,560,3000,97.54,64,100,0.27231
-1,560,4000,97.93,61.28,100,0.26798
-1,560,5000,97.54,60.43,100,0.27363
-1,560,6000,97.36,60.71,100,0.26387
-1,560,7000,97.39,64.71,100,0.2698
-1,560,8000,97.79,61.86,100,0.26662
-1,560,9000,97.72,60.14,100,0.28267
-1,560,10000,97.39,61.86,100,0.27072
