"top","degs","seed","train","test","ntimes","avgtime"
-1,24283,1000,100,42.86,10,20.34425
-1,24283,2000,100,55.71,10,19.50837
-1,24283,3000,99.64,55.72,10,19.44449
-1,24283,4000,100,52.86,10,20.67871
-1,24283,5000,100,41.43,10,19.26463
-1,24283,6000,99.64,44.29,10,18.96301
-1,24283,7000,100,51.43,10,19.51853
-1,24283,8000,100,55.71,10,19.48748
-1,24283,9000,100,50,10,19.13036
-1,24283,10000,100,48.57,10,18.85197
