"top","degs","seed","train","test","ntimes","avgtime"
-1,560,1000,98.22,60,10,0.29227
-1,560,2000,98.22,61.43,10,0.29949
-1,560,3000,98.22,62.86,10,0.27261
-1,560,4000,97.86,65.71,10,0.27669
-1,560,5000,98.57,48.57,10,0.27697
-1,560,6000,97.5,57.14,10,0.2775
-1,560,7000,97.14,67.14,10,0.28146
-1,560,8000,98.22,60,10,0.28541
-1,560,9000,96.79,62.86,10,0.27904
-1,560,10000,97.86,60,10,0.28368
